Workload,Mode,"Packing, µs","Preparation, µs","Formatting, µs","Prepared execution, ms","Full predict, ms",Source
1-long,baseline,73.50,"1,572.51",29.57,6.923,8.798,native-optimizations/host/components.json
1-long,numpy,14.37,"1,571.51",28.60,6.803,8.532,native-optimizations/host/components.json
1-long,cpp,3.19,"1,565.39",29.54,6.769,8.594,native-optimizations/host/components.json
1-long,numpy-graph-io,14.33,"1,555.86",29.05,6.781,8.514,native-optimizations/host/components.json
1-long,cpp-graph-io,3.15,"1,569.03",28.90,6.761,8.473,native-optimizations/host/components.json
1-short,baseline,28.67,247.60,29.10,2.401,2.797,native-optimizations/host/components.json
1-short,numpy,5.29,244.28,28.05,2.338,2.725,native-optimizations/host/components.json
1-short,cpp,0.83,250.60,28.53,2.313,2.700,native-optimizations/host/components.json
1-short,numpy-graph-io,5.29,252.25,29.12,2.325,2.712,native-optimizations/host/components.json
1-short,cpp-graph-io,0.82,249.53,28.68,2.308,2.697,native-optimizations/host/components.json
16-long,baseline,"1,035.97","2,223.18",311.34,97.971,101.056,native-optimizations/host/components.json
16-long,numpy,187.15,"2,201.35",320.32,97.665,100.475,native-optimizations/host/components.json
16-long,cpp,44.86,"2,217.93",305.41,97.361,100.441,native-optimizations/host/components.json
16-long,numpy-graph-io,188.16,"2,227.44",314.58,98.001,100.423,native-optimizations/host/components.json
16-long,cpp-graph-io,45.95,"2,304.08",316.09,98.221,101.028,native-optimizations/host/components.json
16-short,baseline,309.29,760.94,289.40,11.139,12.438,native-optimizations/host/components.json
16-short,numpy,40.15,779.35,291.06,10.832,12.100,native-optimizations/host/components.json
16-short,cpp,7.58,800.59,290.10,10.843,12.084,native-optimizations/host/components.json
16-short,numpy-graph-io,40.46,782.46,290.88,10.870,12.126,native-optimizations/host/components.json
16-short,cpp-graph-io,7.57,784.78,294.79,10.831,12.095,native-optimizations/host/components.json
