Configuration,Workload,"Baseline p50, ms","Fused p50, ms",Latency reduction,Samples / variant,Source
combined.json,1-short,2.205,2.210,-0.19%,60,latency-optimizations/fusion/combined.json
combined.json,16-short,10.755,10.559,1.82%,60,latency-optimizations/fusion/combined.json
combined.json,1-long,7.696,7.634,0.81%,60,latency-optimizations/fusion/combined.json
combined.json,16-long,88.472,82.116,7.18%,60,latency-optimizations/fusion/combined.json
combined-confirmation.json,1-short,2.250,2.223,1.20%,90,latency-optimizations/fusion/combined-confirmation.json
combined-confirmation.json,16-short,10.742,10.547,1.81%,90,latency-optimizations/fusion/combined-confirmation.json
combined-confirmation.json,1-long,7.548,7.619,-0.94%,90,latency-optimizations/fusion/combined-confirmation.json
combined-confirmation.json,16-long,88.049,81.483,7.46%,90,latency-optimizations/fusion/combined-confirmation.json
best.json,1-short,2.214,2.219,-0.21%,90,latency-optimizations/fusion/best.json
best.json,16-short,10.791,10.498,2.71%,90,latency-optimizations/fusion/best.json
best.json,1-long,7.699,7.625,0.96%,90,latency-optimizations/fusion/best.json
best.json,16-long,88.143,81.231,7.84%,90,latency-optimizations/fusion/best.json
