Workload,Variant,"p50, ms",Latency reduction,Samples,Source
1-short,baseline,2.795,0.00%,150,native-optimizations/host/summary.json
1-short,cpp-graph-io,2.709,3.08%,150,native-optimizations/host/summary.json
1-short,cpp-rust-graph-io,2.541,9.10%,150,native-optimizations/host/summary.json
16-short,baseline,12.501,0.00%,150,native-optimizations/host/summary.json
16-short,cpp-graph-io,12.148,2.83%,150,native-optimizations/host/summary.json
16-short,cpp-rust-graph-io,11.663,6.70%,150,native-optimizations/host/summary.json
1-long,baseline,8.686,0.00%,150,native-optimizations/host/summary.json
1-long,cpp-graph-io,8.526,1.84%,150,native-optimizations/host/summary.json
1-long,cpp-rust-graph-io,8.345,3.92%,150,native-optimizations/host/summary.json
16-long,baseline,102.267,0.00%,150,native-optimizations/host/summary.json
16-long,cpp-graph-io,101.669,0.58%,150,native-optimizations/host/summary.json
16-long,cpp-rust-graph-io,100.597,1.63%,150,native-optimizations/host/summary.json
