Experiment,Backend,Workload,"p50, ms",Samples,Source
Original comparison,upstream,1-short,22.520,100,benchmark-http.json
Original comparison,upstream,16-short,27.466,100,benchmark-http.json
Original comparison,upstream,16-long,161.951,100,benchmark-http.json
Original comparison,upstream-fast,1-short,5.054,100,benchmark-http.json
Original comparison,upstream-fast,16-short,17.879,100,benchmark-http.json
Original comparison,upstream-fast,16-long,117.339,100,benchmark-http.json
Original comparison,fused,1-short,3.992,100,benchmark-http.json
Original comparison,fused,16-short,13.723,100,benchmark-http.json
Original comparison,fused,16-long,102.849,100,benchmark-http.json
Host-path comparison,baseline,1-short,3.967,160,native-optimizations/host/summary.json
Host-path comparison,cpp-rust-graph-io,1-short,3.683,160,native-optimizations/host/summary.json
Host-path comparison,baseline,16-short,14.091,160,native-optimizations/host/summary.json
Host-path comparison,cpp-rust-graph-io,16-short,13.149,160,native-optimizations/host/summary.json
Host-path comparison,baseline,1-long,9.905,160,native-optimizations/host/summary.json
Host-path comparison,cpp-rust-graph-io,1-long,9.831,160,native-optimizations/host/summary.json
