Backend,Workload,"p50, ms","p95, ms","Mean, ms",Samples,Source
upstream,1-short,20.524,21.653,20.672,100,benchmark.json
upstream,4-short,22.011,24.009,22.270,100,benchmark.json
upstream,16-short,25.491,27.321,25.708,100,benchmark.json
upstream,1-medium,21.048,22.545,21.305,100,benchmark.json
upstream,4-medium,23.476,24.348,23.540,100,benchmark.json
upstream,1-long,22.187,23.527,22.422,100,benchmark.json
upstream,16-long,159.697,161.491,159.978,100,benchmark.json
fused,1-short,2.812,2.825,2.813,100,benchmark.json
fused,4-short,4.563,4.585,4.564,100,benchmark.json
fused,16-short,12.509,12.834,12.563,100,benchmark.json
fused,1-medium,4.675,4.859,4.709,100,benchmark.json
fused,4-medium,12.910,13.254,12.948,100,benchmark.json
fused,1-long,8.653,8.774,8.665,100,benchmark.json
fused,16-long,101.693,102.721,101.827,100,benchmark.json
upstream-fast,1-short,3.991,4.012,3.993,50,upstream-fast.json
upstream-fast,4-short,6.184,6.428,6.221,50,upstream-fast.json
upstream-fast,16-short,16.209,16.617,16.260,50,upstream-fast.json
upstream-fast,1-medium,5.633,5.690,5.644,50,upstream-fast.json
upstream-fast,4-medium,13.866,14.250,13.943,50,upstream-fast.json
upstream-fast,1-long,8.825,9.317,8.934,50,upstream-fast.json
upstream-fast,16-long,116.790,118.265,117.082,50,upstream-fast.json
upstream-compile,1-short,8.236,8.951,8.327,50,upstream-compile.json
upstream-compile,4-short,9.239,9.770,9.335,50,upstream-compile.json
upstream-compile,16-short,17.820,18.381,17.905,50,upstream-compile.json
upstream-compile,1-medium,10.655,11.643,10.307,50,upstream-compile.json
upstream-compile,4-medium,17.493,18.035,17.567,50,upstream-compile.json
upstream-compile,1-long,11.462,11.958,11.567,50,upstream-compile.json
upstream-compile,16-long,129.283,130.451,129.410,50,upstream-compile.json
upstream,1-short,20.302,21.347,20.462,150,ablation.json
fused_without_graph,1-short,11.386,11.799,11.446,150,ablation.json
fused,1-short,2.807,2.872,2.818,150,ablation.json
upstream,16-short,25.356,26.442,25.458,150,ablation.json
fused_without_graph,16-short,12.952,13.789,13.109,150,ablation.json
fused,16-short,12.456,12.764,12.494,150,ablation.json
upstream,16-long,159.560,161.099,159.790,150,ablation.json
fused_without_graph,16-long,101.648,102.559,101.763,150,ablation.json
fused,16-long,101.855,102.852,101.948,150,ablation.json
