Policy,Workload,"Baseline p50, ms","Candidate p50, ms",Latency reduction,Disposition,Source
Exact batch,1-short,2.194,2.196,-0.10%,Rejected as default,latency-optimizations/padding/batch-exact-confirmed.json
Exact batch,5-short,6.062,4.604,24.06%,Rejected as default,latency-optimizations/padding/batch-exact-confirmed.json
Exact batch,17-short,21.245,11.453,46.09%,Rejected as default,latency-optimizations/padding/batch-exact-confirmed.json
Exact batch,33-short,41.543,22.043,46.94%,Rejected as default,latency-optimizations/padding/batch-exact-confirmed.json
Exact batch,1-medium,3.945,3.946,-0.03%,Rejected as default,latency-optimizations/padding/batch-exact-confirmed.json
Exact batch,5-medium,22.137,14.553,34.26%,Rejected as default,latency-optimizations/padding/batch-exact-confirmed.json
Exact batch,17-medium,87.290,45.150,48.28%,Rejected as default,latency-optimizations/padding/batch-exact-confirmed.json
Exact batch,5-long,45.917,28.328,38.31%,Rejected as default,latency-optimizations/padding/batch-exact-confirmed.json
Exact batch,17-long,180.087,94.072,47.76%,Rejected as default,latency-optimizations/padding/batch-exact-confirmed.json
Exact batch,16-long,89.201,89.226,-0.03%,Rejected as default,latency-optimizations/padding/batch-exact-confirmed.json
32-token buckets,1-tokens80,2.770,2.865,-3.46%,Rejected as default,latency-optimizations/padding/sequence-32.json
32-token buckets,5-tokens80,10.746,8.962,16.59%,Rejected as default,latency-optimizations/padding/sequence-32.json
32-token buckets,1-tokens144,3.842,3.620,5.79%,Rejected as default,latency-optimizations/padding/sequence-32.json
32-token buckets,5-tokens144,21.789,14.226,34.71%,Rejected as default,latency-optimizations/padding/sequence-32.json
32-token buckets,1-tokens272,5.897,5.047,14.41%,Rejected as default,latency-optimizations/padding/sequence-32.json
32-token buckets,5-tokens272,31.557,24.710,21.70%,Rejected as default,latency-optimizations/padding/sequence-32.json
32-token buckets,1-tokens400,6.898,6.348,7.98%,Rejected as default,latency-optimizations/padding/sequence-32.json
32-token buckets,5-tokens400,44.313,35.344,20.24%,Rejected as default,latency-optimizations/padding/sequence-32.json
