Comparison,Workload,"Baseline p50, ms","Candidate p50, ms",Latency reduction,Samples / variant,Source
combined-native.json,1-short,2.811,2.207,21.50%,150,native-optimizations/combined-native.json
combined-native.json,16-short,12.532,10.782,13.97%,150,native-optimizations/combined-native.json
combined-native.json,1-long,8.712,7.905,9.26%,150,native-optimizations/combined-native.json
combined-native.json,16-long,102.300,93.069,9.02%,150,native-optimizations/combined-native.json
combined-window.json,1-short,2.816,2.221,21.14%,150,native-optimizations/combined-window.json
combined-window.json,16-short,12.507,10.802,13.63%,150,native-optimizations/combined-window.json
combined-window.json,1-long,8.752,7.474,14.61%,150,native-optimizations/combined-window.json
combined-window.json,16-long,101.967,88.457,13.25%,150,native-optimizations/combined-window.json
extended-native.json,5-medium,24.589,22.000,10.53%,60,native-optimizations/extended-native.json
extended-native.json,16-medium,48.585,43.277,10.93%,60,native-optimizations/extended-native.json
extended-native.json,32-short,24.657,21.693,12.02%,60,native-optimizations/extended-native.json
extended-native.json,64-short,48.707,42.452,12.84%,60,native-optimizations/extended-native.json
extended-native.json,32-long,207.399,174.611,15.81%,60,native-optimizations/extended-native.json
final-autotuned.json,1-short,2.792,2.097,24.89%,150,native-optimizations/final-autotuned.json
final-autotuned.json,16-short,12.446,10.660,14.35%,150,native-optimizations/final-autotuned.json
final-autotuned.json,1-long,8.596,7.246,15.71%,150,native-optimizations/final-autotuned.json
final-autotuned.json,16-long,101.153,84.699,16.27%,150,native-optimizations/final-autotuned.json
final-compiled.json,1-short,2.820,2.106,25.33%,150,native-optimizations/final-compiled.json
final-compiled.json,16-short,12.534,10.574,15.64%,150,native-optimizations/final-compiled.json
final-compiled.json,1-long,8.682,7.511,13.49%,150,native-optimizations/final-compiled.json
final-compiled.json,16-long,101.622,91.545,9.92%,150,native-optimizations/final-compiled.json
final-native.json,1-short,2.794,2.188,21.71%,150,native-optimizations/final-native.json
final-native.json,16-short,12.451,10.700,14.07%,150,native-optimizations/final-native.json
final-native.json,1-long,8.669,7.367,15.02%,150,native-optimizations/final-native.json
final-native.json,16-long,101.665,88.261,13.18%,150,native-optimizations/final-native.json
Round 2 projection fusion,1-short,2.214,2.219,-0.21%,90,latency-optimizations/fusion/best.json
Round 2 projection fusion,16-short,10.791,10.498,2.71%,90,latency-optimizations/fusion/best.json
Round 2 projection fusion,1-long,7.699,7.625,0.96%,90,latency-optimizations/fusion/best.json
Round 2 projection fusion,16-long,88.143,81.231,7.84%,90,latency-optimizations/fusion/best.json
Native versus full-model compiled,1-short,2.189,2.102,3.99%,150,native-optimizations/compiler/direct-native-vs-compiled.json
Native versus full-model compiled,16-long,88.036,91.701,-4.16%,150,native-optimizations/compiler/direct-native-vs-compiled.json
