Workload,Callers,Policy,Requests/s,"p50, ms","p95, ms",Requests,Source
1-long,1,microbatch-0,130.87,7.637,7.818,48,latency-optimizations/serving/screen-summary.json
1-long,2,microbatch-0,168.11,11.806,11.949,48,latency-optimizations/serving/screen-summary.json
1-long,4,microbatch-0,184.69,21.230,21.721,48,latency-optimizations/serving/screen-summary.json
1-long,8,microbatch-0,181.17,43.049,45.181,48,latency-optimizations/serving/screen-summary.json
1-short,1,microbatch-0,427.52,2.322,2.411,48,latency-optimizations/serving/screen-summary.json
1-short,2,microbatch-0,482.89,4.049,4.367,48,latency-optimizations/serving/screen-summary.json
1-short,4,microbatch-0,734.04,5.282,6.037,48,latency-optimizations/serving/screen-summary.json
1-short,8,microbatch-0,801.22,8.631,14.722,48,latency-optimizations/serving/screen-summary.json
16-long,1,microbatch-0,11.25,88.884,89.524,48,latency-optimizations/serving/screen-summary.json
16-long,2,microbatch-0,11.62,171.849,173.021,48,latency-optimizations/serving/screen-summary.json
16-long,4,microbatch-0,11.50,347.686,349.001,48,latency-optimizations/serving/screen-summary.json
16-long,8,microbatch-0,11.53,692.976,746.494,48,latency-optimizations/serving/screen-summary.json
16-short,1,microbatch-0,88.01,11.314,11.776,48,latency-optimizations/serving/screen-summary.json
16-short,2,microbatch-0,98.52,20.207,20.569,48,latency-optimizations/serving/screen-summary.json
16-short,4,microbatch-0,78.17,51.022,52.237,48,latency-optimizations/serving/screen-summary.json
16-short,8,microbatch-0,96.80,81.315,84.379,48,latency-optimizations/serving/screen-summary.json
mixed,1,microbatch-0,35.93,10.227,89.325,48,latency-optimizations/serving/screen-summary.json
mixed,2,microbatch-0,38.10,16.423,92.651,48,latency-optimizations/serving/screen-summary.json
mixed,4,microbatch-0,37.76,105.608,106.119,48,latency-optimizations/serving/screen-summary.json
mixed,8,microbatch-0,38.27,207.061,384.985,48,latency-optimizations/serving/screen-summary.json
1-long,1,microbatch-0.25,126.56,7.826,8.151,48,latency-optimizations/serving/screen-summary.json
1-long,2,microbatch-0.25,136.27,14.783,17.152,48,latency-optimizations/serving/screen-summary.json
1-long,4,microbatch-0.25,136.59,29.205,34.458,48,latency-optimizations/serving/screen-summary.json
1-long,8,microbatch-0.25,178.20,42.954,46.540,48,latency-optimizations/serving/screen-summary.json
1-short,1,microbatch-0.25,358.45,2.702,2.978,48,latency-optimizations/serving/screen-summary.json
1-short,2,microbatch-0.25,491.38,4.026,4.112,48,latency-optimizations/serving/screen-summary.json
1-short,4,microbatch-0.25,740.83,5.255,5.969,48,latency-optimizations/serving/screen-summary.json
1-short,8,microbatch-0.25,851.74,8.368,13.581,48,latency-optimizations/serving/screen-summary.json
16-long,1,microbatch-0.25,11.14,89.658,90.846,48,latency-optimizations/serving/screen-summary.json
16-long,2,microbatch-0.25,11.18,178.855,182.002,48,latency-optimizations/serving/screen-summary.json
