Workload,Callers,Policy,Requests/s,"p50, ms","p95, ms",Throughput ratio,Requests,Source
1-long,1,priority-3,129.93,7.656,8.039,0.998×,192,latency-optimizations/serving/confirmation-summary.json
1-long,1,serial-current,130.25,7.529,8.310,1.000×,192,latency-optimizations/serving/confirmation-summary.json
1-long,1,streams-2,130.01,7.610,8.127,0.998×,192,latency-optimizations/serving/confirmation-summary.json
1-long,1,streams-4,130.68,7.596,7.982,1.003×,192,latency-optimizations/serving/confirmation-summary.json
1-long,2,priority-3,189.88,10.439,10.965,1.449×,192,latency-optimizations/serving/confirmation-summary.json
1-long,2,serial-current,131.02,15.113,16.289,1.000×,192,latency-optimizations/serving/confirmation-summary.json
1-long,2,streams-2,190.43,10.400,10.818,1.453×,192,latency-optimizations/serving/confirmation-summary.json
1-long,2,streams-4,189.75,10.447,10.877,1.448×,192,latency-optimizations/serving/confirmation-summary.json
1-long,4,priority-3,187.17,20.926,23.385,1.416×,192,latency-optimizations/serving/confirmation-summary.json
1-long,4,serial-current,132.19,30.325,31.447,1.000×,192,latency-optimizations/serving/confirmation-summary.json
1-long,4,streams-2,188.87,20.803,22.243,1.429×,192,latency-optimizations/serving/confirmation-summary.json
1-long,4,streams-4,201.98,19.621,20.896,1.528×,192,latency-optimizations/serving/confirmation-summary.json
1-long,8,priority-3,182.80,41.884,48.213,1.398×,192,latency-optimizations/serving/confirmation-summary.json
1-long,8,serial-current,130.77,61.232,65.211,1.000×,192,latency-optimizations/serving/confirmation-summary.json
1-long,8,streams-2,187.30,41.660,44.023,1.432×,192,latency-optimizations/serving/confirmation-summary.json
1-long,8,streams-4,202.16,38.988,41.323,1.546×,192,latency-optimizations/serving/confirmation-summary.json
1-short,1,priority-3,433.30,2.300,2.350,0.985×,192,latency-optimizations/serving/confirmation-summary.json
1-short,1,serial-current,439.85,2.249,2.425,1.000×,192,latency-optimizations/serving/confirmation-summary.json
1-short,1,streams-2,435.50,2.286,2.344,0.990×,192,latency-optimizations/serving/confirmation-summary.json
1-short,1,streams-4,427.48,2.304,2.520,0.972×,192,latency-optimizations/serving/confirmation-summary.json
1-short,2,priority-3,644.05,3.069,3.262,1.494×,192,latency-optimizations/serving/confirmation-summary.json
1-short,2,serial-current,431.01,4.595,4.811,1.000×,192,latency-optimizations/serving/confirmation-summary.json
1-short,2,streams-2,650.60,3.049,3.161,1.509×,192,latency-optimizations/serving/confirmation-summary.json
1-short,2,streams-4,649.73,3.059,3.158,1.507×,192,latency-optimizations/serving/confirmation-summary.json
1-short,4,priority-3,606.34,6.318,7.974,1.400×,192,latency-optimizations/serving/confirmation-summary.json
1-short,4,serial-current,433.23,9.196,9.433,1.000×,192,latency-optimizations/serving/confirmation-summary.json
1-short,4,streams-2,642.04,6.161,6.319,1.482×,192,latency-optimizations/serving/confirmation-summary.json
1-short,4,streams-4,817.87,4.829,4.958,1.888×,192,latency-optimizations/serving/confirmation-summary.json
1-short,8,priority-3,634.55,12.418,12.795,1.484×,192,latency-optimizations/serving/confirmation-summary.json
1-short,8,serial-current,427.73,18.631,19.591,1.000×,192,latency-optimizations/serving/confirmation-summary.json
1-short,8,streams-2,637.92,12.378,12.680,1.491×,192,latency-optimizations/serving/confirmation-summary.json
1-short,8,streams-4,766.45,9.669,12.670,1.792×,192,latency-optimizations/serving/confirmation-summary.json
16-short,1,priority-3,89.87,11.077,11.465,0.997×,192,latency-optimizations/serving/confirmation-summary.json
16-short,1,serial-current,90.10,11.025,11.513,1.000×,192,latency-optimizations/serving/confirmation-summary.json
16-short,1,streams-2,90.06,11.033,11.502,0.999×,192,latency-optimizations/serving/confirmation-summary.json
16-short,1,streams-4,90.51,11.001,11.424,1.005×,192,latency-optimizations/serving/confirmation-summary.json
16-short,2,priority-3,88.98,22.310,23.472,0.991×,192,latency-optimizations/serving/confirmation-summary.json
16-short,2,serial-current,89.76,22.164,22.973,1.000×,192,latency-optimizations/serving/confirmation-summary.json
16-short,2,streams-2,105.92,18.892,19.330,1.180×,192,latency-optimizations/serving/confirmation-summary.json
16-short,2,streams-4,105.98,18.855,19.380,1.181×,192,latency-optimizations/serving/confirmation-summary.json
16-short,4,priority-3,88.90,44.730,46.545,0.993×,192,latency-optimizations/serving/confirmation-summary.json
16-short,4,serial-current,89.50,44.575,46.140,1.000×,192,latency-optimizations/serving/confirmation-summary.json
16-short,4,streams-2,105.16,37.738,39.473,1.175×,192,latency-optimizations/serving/confirmation-summary.json
16-short,4,streams-4,107.19,37.255,38.146,1.198×,192,latency-optimizations/serving/confirmation-summary.json
16-short,8,priority-3,89.11,89.804,91.776,0.992×,192,latency-optimizations/serving/confirmation-summary.json
16-short,8,serial-current,89.81,88.858,91.350,1.000×,192,latency-optimizations/serving/confirmation-summary.json
16-short,8,streams-2,105.29,75.456,77.339,1.172×,192,latency-optimizations/serving/confirmation-summary.json
16-short,8,streams-4,107.12,74.283,76.408,1.193×,192,latency-optimizations/serving/confirmation-summary.json
mixed,1,priority-3,36.26,9.961,88.992,0.997×,192,latency-optimizations/serving/confirmation-summary.json
mixed,1,serial-current,36.38,9.504,88.931,1.000×,192,latency-optimizations/serving/confirmation-summary.json
mixed,1,streams-2,36.41,9.902,88.605,1.001×,192,latency-optimizations/serving/confirmation-summary.json
mixed,1,streams-4,36.52,9.585,88.382,1.004×,192,latency-optimizations/serving/confirmation-summary.json
mixed,2,priority-3,38.07,13.866,98.512,1.053×,192,latency-optimizations/serving/confirmation-summary.json
mixed,2,serial-current,36.14,21.745,95.731,1.000×,192,latency-optimizations/serving/confirmation-summary.json
mixed,2,streams-2,39.48,44.891,93.802,1.092×,192,latency-optimizations/serving/confirmation-summary.json
mixed,2,streams-4,39.45,45.002,93.806,1.092×,192,latency-optimizations/serving/confirmation-summary.json
mixed,4,priority-3,38.09,15.572,203.536,1.055×,192,latency-optimizations/serving/confirmation-summary.json
mixed,4,serial-current,36.10,110.732,112.167,1.000×,192,latency-optimizations/serving/confirmation-summary.json
mixed,4,streams-2,39.62,100.465,132.505,1.097×,192,latency-optimizations/serving/confirmation-summary.json
mixed,4,streams-4,38.86,103.098,107.320,1.077×,192,latency-optimizations/serving/confirmation-summary.json
mixed,8,priority-3,38.12,22.056,414.341,1.055×,192,latency-optimizations/serving/confirmation-summary.json
mixed,8,serial-current,36.14,220.881,223.020,1.000×,192,latency-optimizations/serving/confirmation-summary.json
mixed,8,streams-2,39.44,201.669,229.972,1.091×,192,latency-optimizations/serving/confirmation-summary.json
mixed,8,streams-4,38.69,206.697,213.814,1.071×,192,latency-optimizations/serving/confirmation-summary.json
