profile,source_file,options,threads,workers,threads_per_worker,model_load_ms,case,questions,request_sha256,input_tokens,p50_ms,p95_ms,mean_ms,decisions_per_second,first_call_ms,max_rounded_probability_error,max_other_numeric_error,categorical_mismatch_count,matching_top_options,decisions,top_option_agreement
blackwell,blackwell.json,{},96,1,,2815.5746939592063,1-short,1,da98b5ec5dff8bff4a9ba124c84677565b54cf546d23634345bb47f56ce7d6c7,63,3.5695229889824986,3.5815023235045373,3.5694024059921503,280.15894154193586,395.36662702448666,0.00039999999999995595,0.0011999999999999789,0,1,1,1.0
blackwell,blackwell.json,{},96,1,,2815.5746939592063,16-short,16,60b67ccbbe143c6ced6d1e8f2020f25a8e4fb6b671950e352f7557bd8247b18a,993,13.031089911237359,13.125202630180866,13.022060203365982,1228.6842289259475,97.55927906371653,0.0007000000000000339,0.0011999999999999789,0,16,16,1.0
blackwell,blackwell.json,{},96,1,,2815.5746939592063,1-long,1,6c8d2da685689c3c33a26855bddf64ac54d97c6e5a5147feab971b3ec6e3920a,512,8.687722031027079,8.752408798318356,8.697090158239007,114.98098580163284,80.91969205997884,0.0007000000000000339,0.0010999999999999899,0,1,1,1.0
blackwell,blackwell.json,{},96,1,,2815.5746939592063,16-long,16,c78ea353c2e5e6c0579bcfa38baf6cfaa3e678c7db11394d22468411dc20dfc6,8192,99.51925952918828,100.36140965530649,99.60665295366198,160.6318406004804,451.83211006224155,0.0029000000000000137,0.0048000000000000265,0,16,16,1.0
cpu-pool,cpu-pool.json,"{""precision"": ""mlp-bf16"", ""threads"": 8, ""workers"": 12}",96,12,8,5178.793192142621,1-short,1,da98b5ec5dff8bff4a9ba124c84677565b54cf546d23634345bb47f56ce7d6c7,63,75.40566998068243,116.49362348252907,87.43743440136313,11.436749109194016,115.00867595896125,0.00039999999999995595,0.0012999999999999678,0,1,1,1.0
cpu-pool,cpu-pool.json,"{""precision"": ""mlp-bf16"", ""threads"": 8, ""workers"": 12}",96,12,8,5178.793192142621,16-short,16,60b67ccbbe143c6ced6d1e8f2020f25a8e4fb6b671950e352f7557bd8247b18a,993,153.211654513143,164.68150697182867,156.3079942483455,102.36200699101069,168.7663090415299,0.0010000000000000009,0.0012999999999999678,0,16,16,1.0
cpu-pool,cpu-pool.json,"{""precision"": ""mlp-bf16"", ""threads"": 8, ""workers"": 12}",96,12,8,5178.793192142621,1-long,1,6c8d2da685689c3c33a26855bddf64ac54d97c6e5a5147feab971b3ec6e3920a,512,379.22646838705987,401.0255198809318,384.0261406847276,2.6039894008698905,409.8049718886614,0.0007000000000000339,0.0010999999999999899,0,1,1,1.0
cpu-pool,cpu-pool.json,"{""precision"": ""mlp-bf16"", ""threads"": 8, ""workers"": 12}",96,12,8,5178.793192142621,16-long,16,c78ea353c2e5e6c0579bcfa38baf6cfaa3e678c7db11394d22468411dc20dfc6,8192,994.4920655107126,1036.369050340727,1002.017261669971,15.967788791716277,969.633927103132,0.0007000000000000339,0.0010999999999999899,0,16,16,1.0
cpu,cpu.json,"{""max_batch_tokens"": 4096, ""precision"": ""mlp-bf16"", ""threads"": 32}",32,1,,1808.643101947382,1-short,1,da98b5ec5dff8bff4a9ba124c84677565b54cf546d23634345bb47f56ce7d6c7,63,58.809794485569,59.3848708900623,58.74569332227111,17.022524434499942,79.12405184470117,0.0005999999999999339,0.0020000000000000018,0,1,1,1.0
cpu,cpu.json,"{""max_batch_tokens"": 4096, ""precision"": ""mlp-bf16"", ""threads"": 32}",32,1,,1808.643101947382,16-short,16,60b67ccbbe143c6ced6d1e8f2020f25a8e4fb6b671950e352f7557bd8247b18a,993,290.1958564762026,320.4339913907461,295.78122737584636,54.094034776821566,302.1357129327953,0.0010000000000000009,0.0012999999999999678,0,16,16,1.0
